gene	score	logfoldchange	pval	pval_adj	cluster
Cdc42	24.802391	1.0991521	8.447987776941188e-136	1.1689090779825354e-133	AM
Slc15a3	24.781443	3.4414697	1.4212339139588546e-135	1.9477672401778967e-133	AM
Blvra	24.70077	2.711952	1.0492951550916647e-134	1.4312186996937494e-132	AM
Ctsl	24.700409	1.4018894	1.0586958882432522e-134	1.4372296067755094e-132	AM
Il1rn	24.549326	4.004243	4.397385407117036e-133	5.941631550085835e-131	AM
Arhgap30	24.400463	1.6123662	1.6909170506638008e-131	2.2740463886964573e-129	AM
Bhlhe40	24.340754	2.1288419	7.263485784597974e-131	9.72293585491766e-129	AM
Sat1	24.334036	1.1928422	8.556020704823156e-131	1.140010536503752e-128	AM
Atp6v0e	24.264643	1.4348755	4.632538485950149e-130	6.143984222379967e-128	AM
Cd53	24.225994	1.9561124	1.1843276632886784e-129	1.563529823369182e-127	AM
Sulf2	24.198557	2.9306612	2.3039043346341873e-129	3.0276879794873017e-127	AM
Krt19	24.152689	2.0851197	6.996476615676251e-129	9.152663499961933e-127	AM
Rnh1	24.13991	1.421664	9.530322488643506e-129	1.2410981050821723e-126	AM
Hsp90ab1	24.138237	0.96953756	9.923888094188243e-129	1.286529276354674e-126	AM
Atp5g3	24.108541	1.0634369	2.0338521315810636e-128	2.6248549034485655e-126	AM
Cd47	24.060972	1.2058971	6.40825541797494e-128	8.23346388077316e-126	AM
Dhrs7b	23.93692	3.4100099	1.2645256468919042e-126	1.610311863608363e-124	AM
Cox6b1	23.933676	0.9415923	1.3668420252818496e-126	1.7329389201591027e-124	AM
Tbca	23.890663	1.3153377	3.829835814294681e-126	4.83432783927197e-124	AM
Tmbim1	23.763626	1.7784111	7.944540653607419e-125	9.941038261340066e-123	AM
Colgalt1	23.714863	2.1898658	2.533291365967688e-124	3.1425916169202615e-122	AM
Cox17	23.704464	1.1396471	3.243093194199428e-124	4.0058464433072766e-122	AM
Slfn2	23.617416	1.7085717	2.552841913139306e-123	3.139777361544839e-121	AM
Lsp1	23.581675	1.3015838	5.9431740537118576e-123	7.278491458120309e-121	AM
Ifi30	23.533964	1.1450605	1.832354030364666e-122	2.234540211605724e-120	AM
Cndp2	23.527803	1.6350803	2.118798939746336e-122	2.5729549994050445e-120	AM
Hcls1	23.330061	1.8363063	2.1967601697711383e-120	2.6453036688708515e-118	AM
Myof	23.30457	1.6230623	3.984786779269963e-120	4.7784234794745644e-118	AM
Prr13	23.206263	1.3894742	3.9363156262020646e-119	4.681287757111381e-117	AM
Rassf4	23.201574	2.180685	4.3895790008631447e-119	5.198851178800053e-117	AM
Anxa1	23.11176	1.2222676	3.526632396592516e-118	4.1427134846503105e-116	AM
Flna	23.010174	1.4486545	3.6869562351660664e-117	4.313439042604853e-115	AM
Cox7c	22.969486	0.89556026	9.411768983875038e-117	1.0966425560968568e-114	AM
Pik3ap1	22.92033	3.19056	2.91366790012644e-116	3.381264603453184e-114	AM
Tcirg1	22.876549	2.4601274	7.955344750575422e-116	9.194972767934162e-114	AM
Prdx5	22.87401	1.2297447	8.431867630580718e-116	9.706766016324523e-114	AM
Gabarap	22.73429	0.9247075	2.0527007750630747e-114	2.3443146153299717e-112	AM
Mcoln3	22.718147	6.7215047	2.964517242496153e-114	3.3722848315825803e-112	AM
Pgd	22.695501	1.5163497	4.962552257001702e-114	5.622923384114526e-112	AM
Otulinl	22.628315	2.1209176	2.28155023185704e-113	2.575020222464534e-111	AM
Lima1	22.574974	1.3923666	7.63535732534946e-113	8.583811868107714e-111	AM
Serpinb1a	22.493538	2.5425155	4.801498369721289e-112	5.356090041882894e-110	AM
Tlr2	22.446669	4.0363436	1.3793163184026149e-111	1.532692032572481e-109	AM
Picalm	22.365446	1.2808806	8.542593881962711e-111	9.455994304726417e-109	AM
Tkt	22.267336	1.2775874	7.662223845884228e-110	8.352984935020761e-108	AM
Gadd45g	22.261942	1.0561773	8.642053451186429e-110	9.385596163213035e-108	AM
Chp1	22.220947	1.6514767	2.154754747825908e-109	2.3313474301665277e-107	AM
Lmna	22.155706	1.513415	9.190646315025867e-109	9.9066217582938e-107	AM
Itgal	22.12694	2.4777286	1.7399135278286543e-108	1.8546189381818027e-106	AM
Ctsc	22.031944	0.6530054	1.4233286845957874e-107	1.5115645587699912e-105	AM
Bzw2	21.916292	2.4184535	1.8166763719202527e-106	1.9151628565518268e-104	AM
Serp1	21.914307	1.140171	1.8976525777413432e-106	1.993227780561893e-104	AM
Acp5	21.893566	2.838438	2.991749186127901e-106	3.131001511882218e-104	AM
Dmxl2	21.802221	4.501573	2.2102325698032113e-105	2.3047280202513193e-103	AM
Ramp1	21.746761	1.3689727	7.413179780788034e-105	7.702213505093127e-103	AM
Atp6ap2	21.700459	1.604319	2.0312653081695112e-104	2.1028710636373576e-102	AM
Erp29	21.690832	1.3908552	2.504207350965403e-104	2.5739674128851534e-102	AM
Diaph1	21.658989	1.0624806	5.000855908765899e-104	5.121873062429985e-102	AM
Rpl37a	21.62845	0.8797908	9.698499177626041e-104	9.897971855747428e-102	AM
Lilr4b	21.431662	2.6803527	6.77192211137776e-102	6.886781567683814e-100	AM
Nap1l1	21.389502	1.0555321	1.673396994579668e-101	1.6898373861053631e-99	AM
Abcc5	21.329994	2.3035817	5.981427610141159e-101	6.019072958736453e-99	AM
Gusb	21.227814	1.9939106	5.286437761235199e-100	5.2644871546141536e-98	AM
Hspe1	21.202616	1.0443099	9.033213287574576e-100	8.964685462634355e-98	AM
Atp6v1c1	21.135618	2.2208295	3.742565455500187e-99	3.68873403456491e-97	AM
Cops9	21.07614	1.1579713	1.3169780599449335e-98	1.29360507048516e-96	AM
Dock10	21.044256	2.0176852	2.5813450867560368e-98	2.5269085577156034e-96	AM
Bola2	20.894331	1.4880365	6.029501388014485e-97	5.84272895444636e-95	AM
Pirb	20.87751	2.3510823	8.574535724982892e-97	8.281044904866028e-95	AM
Psen2	20.832127	1.9988757	2.214067251245281e-96	2.131132290663518e-94	AM
Lgals1	20.812931	0.94984376	3.3050848266736173e-96	3.170678043722224e-94	AM
Gdi2	20.714884	0.9985427	2.5432206757062346e-95	2.423638776384948e-93	AM
mt-Rnr1	20.69857	1.5118241	3.567990129425699e-95	3.389001845705334e-93	AM
Snx1	20.628521	1.7405124	1.5223361200321743e-94	1.4412116294251967e-92	AM
Ptpre	20.620522	1.7433577	1.796085021153758e-94	1.6947976035673823e-92	AM
Prkar2b	20.45269	3.8264382	5.685114233077776e-93	5.329563114917863e-91	AM
Clec4a3	20.436789	2.4023397	7.875455935889339e-93	7.35894876087322e-91	AM
Rps9	20.350346	0.87652606	4.6101375611897135e-92	4.279992226162579e-90	AM
Ptprc	20.214437	1.1458763	7.307474544566606e-91	6.697742592121876e-89	AM
Sla	20.146526	2.1612997	2.886692538793305e-90	2.6290826350149154e-88	AM
BC005537	20.113863	1.0579532	5.580286691168758e-90	5.066266592171509e-88	AM
Bhlhe41	19.992905	4.70151	6.34897678683447e-89	5.746023645443272e-87	AM
Ier5	19.9825	1.3971165	7.820791591316748e-89	7.055874043827461e-87	AM
Chmp4b	19.966711	0.994483	1.0728776032561244e-88	9.649192944284768e-87	AM
Ndufb1-ps	19.957657	1.037247	1.2860109282747012e-88	1.1530029444157602e-86	AM
Acaa1b	19.944029	7.037598	1.6889509849599082e-88	1.5095655076753464e-86	AM
Gpcpd1	19.896755	2.585952	4.341435020802875e-88	3.868312690362438e-86	AM
Ywhab	19.820879	0.93162704	1.9664485594789262e-87	1.7360242190737268e-85	AM
Hvcn1	19.71346	3.2203047	1.6526861745585267e-86	1.4501313446278779e-84	AM
Atp5mpl	19.689545	1.1051188	2.6506251593347473e-86	2.318692768560913e-84	AM
Cmpk1	19.664557	1.5918806	4.339477651168567e-86	3.784550509110041e-84	AM
Gns	19.653759	1.5517657	5.3685745587858844e-86	4.667902592201141e-84	AM
Ptpn6	19.645605	1.4471412	6.304194155176649e-86	5.464900836927228e-84	AM
Gsr	19.627974	2.0263603	8.920242749571775e-86	7.709447037017288e-84	AM
Alas1	19.621174	1.1074643	1.019718190606321e-85	8.78667351067363e-84	AM
Eif5b	19.543823	0.8483312	4.655981608182365e-85	3.999974647268313e-83	AM
S100a1	19.460049	1.3197676	2.395572695989867e-84	2.051922089005606e-82	AM
Kmt5a	19.391932	1.625382	9.028165824134539e-84	7.687296225402132e-82	AM
Vdac2	19.337355	1.3334407	2.604974658286237e-83	2.1985680547060963e-81	AM
Arpc4	19.212673	1.365482	2.899472549641968e-82	2.4328518944226194e-80	AM
Smc6	19.130445	1.017031	1.4086486302248968e-81	1.1785147551707131e-79	AM
Actr3	19.127253	0.9643689	1.497618037672186e-81	1.2493173079479858e-79	AM
Celf2	19.116917	1.3719474	1.8258961387671467e-81	1.5187656321883955e-79	AM
Fam49b	19.069221	1.5387607	4.550347464482082e-81	3.7740345829335545e-79	AM
Spi1	19.010878	1.8073049	1.386124385122386e-80	1.14634079896041e-78	AM
Rtn3	18.961506	1.1512994	3.54838808169305e-80	2.9177888283178854e-78	AM
Npm1	18.906595	0.80843323	1.0064782021308425e-79	8.252547765619843e-78	AM
Pros1	18.845482	2.1645057	3.200348982924303e-79	2.6166489695614047e-77	AM
Arpc1b	18.80512	0.95261306	6.856732731924708e-79	5.5902767145833745e-77	AM
Nfam1	18.785313	2.439052	9.959966245741873e-79	8.074586719787355e-77	AM
Glud1	18.775476	1.2079889	1.1986914276779452e-78	9.690544743980692e-77	AM
Camk2d	18.765097	1.6522291	1.457313069710791e-78	1.1748310965343576e-76	AM
Itpripl2	18.742203	1.3743075	2.2415299533455733e-78	1.8019897222705476e-76	AM
Fn1	18.737843	1.8926523	2.432943909973782e-78	1.9504213294998732e-76	AM
Cd200r4	18.661835	5.261881	1.0119576305372683e-77	8.090039057461828e-76	AM
Tfec	18.643711	5.6051316	1.4203458190076105e-77	1.1323421792531588e-75	AM
Ch25h	18.596487	3.9039984	3.4306548042978386e-77	2.7274653388865135e-75	AM
Syk	18.57355	1.844804	5.260813720473165e-77	4.1709702169481456e-75	AM
Lamtor2	18.53698	1.42232	1.0389394449470028e-76	8.214471765267786e-75	AM
Sh2d1b1	18.492044	4.6503415	2.3930342621972915e-76	1.886891125096933e-74	AM
Cd300c2	18.479263	2.630393	3.0328932963995474e-76	2.3848816685895895e-74	AM
Rab32	18.389772	3.4190366	1.5864198499301525e-75	1.2406837848095052e-73	AM
Hspd1	18.381542	0.91460335	1.846455696048007e-75	1.4401353640179306e-73	AM
Rack1	18.3723	0.81316763	2.189359715057303e-75	1.7029668270094373e-73	AM
Bcl2a1d	18.354185	2.176314	3.056346608249581e-75	2.3709341074237987e-73	AM
Ubash3b	18.32615	2.4872112	5.118733681337243e-75	3.960138584647469e-73	AM
Ostf1	18.320646	1.1276044	5.663724182189587e-75	4.370026326096952e-73	AM
Fpr2	18.317266	5.059178	6.026383177881988e-75	4.637414648648225e-73	AM
Csf2ra	18.163013	1.9962747	1.0130837021604846e-73	7.733832612249005e-72	AM
Cd274	18.109486	2.9123354	2.682461610120715e-73	2.036972167263171e-71	AM
Il17ra	17.99616	2.079769	2.0880344218405289e-72	1.5731316926850894e-70	AM
Diaph2	17.947983	1.8142822	4.976481331675811e-72	3.739507381870231e-70	AM
Ddx46	17.93888	1.0230471	5.86245221655647e-72	4.3937858018878963e-70	AM
Nrp2	17.854895	2.2512138	2.647830927806618e-71	1.979339587072064e-69	AM
Prkcd	17.849833	1.2650337	2.8990243210626635e-71	2.1615005171031981e-69	AM
Lyz2	17.83176	1.0612884	4.0060392154690545e-71	2.979168181426341e-69	AM
Txnip	17.793526	0.8816517	7.93264957192478e-71	5.884063264948329e-69	AM
Siglecf	17.746702	6.715905	1.8277782275320382e-70	1.3522739688527521e-68	AM
Hpcal1	17.67686	1.2715057	6.321946376008692e-70	4.641469813814545e-68	AM
Prcp	17.674461	2.114746	6.596708200077057e-70	4.830871806570425e-68	AM
Mtpn	17.618998	1.0548835	1.7609522080155365e-69	1.2862996077839376e-67	AM
Lpin1	17.609814	2.7429316	2.071253391935629e-69	1.509130952402719e-67	AM
Pdia6	17.607758	0.74029475	2.1479021786117735e-69	1.56102587627391e-67	AM
Tgfbr1	17.566332	2.293615	4.461043188794651e-69	3.225849823455027e-67	AM
Atp6v1g1	17.482813	0.7956936	1.937038352641013e-68	1.390223535885495e-66	AM
Ciao2a	17.327154	1.7819909	2.9349374418574238e-67	2.070281852369036e-65	AM
Ywhah	17.302067	0.974444	4.53812768209317e-67	3.1933328775217952e-65	AM
Pfn1	17.169373	0.8134294	4.50254198843205e-66	3.1605648396847414e-64	AM
Scarb2	17.12878	0.9066601	9.053175556904527e-66	6.32403865358525e-64	AM
Evl	17.076168	2.1578188	2.233147185511931e-65	1.5561737530032296e-63	AM
Pparg	17.052334	4.4722705	3.358560859602691e-65	2.3347676700329818e-63	AM
Cox6c	17.049122	0.63499177	3.548249282907316e-65	2.460689502700543e-63	AM
Ddhd1	17.001167	1.6278663	8.05002553860384e-65	5.569224399062946e-63	AM
Rps27a	16.978376	0.66485924	1.1872556948962258e-64	8.194057289955247e-63	AM
Naa50	16.953362	1.5850385	1.8175719964281845e-64	1.2514287573493578e-62	AM
Pilra	16.889366	3.1091075	5.3879201895566e-64	3.6920081679866413e-62	AM
Mmp19	16.871687	3.679328	7.2690752744487e-64	4.969215828946167e-62	AM
Cib2	16.86473	3.1391087	8.177441046264899e-64	5.576937282263123e-62	AM
Rab8b	16.809595	1.7450757	2.075827034763184e-63	1.4090165580302932e-61	AM
Atp1b3	16.801908	0.960947	2.363133100693165e-63	1.6002581326576304e-61	AM
Rpl22	16.80033	0.69967777	2.4269213706029204e-63	1.6395961747876067e-61	AM
Sh3bp2	16.70403	3.1717067	1.2250746984969546e-62	8.237768650173446e-61	AM
Ccni	16.685457	1.2513115	1.6722123713422648e-62	1.1218245232454634e-60	AM
Sept11	16.636566	0.97238153	3.7872443354382814e-62	2.5289302082114557e-60	AM
Ccr1	16.598955	2.912522	7.091511557566768e-62	4.724391264508602e-60	AM
Jpt1	16.587553	1.2641717	8.574239279478272e-62	5.698997839801032e-60	AM
Fpr1	16.50001	5.718284	3.668318553397496e-61	2.4214267882288976e-59	AM
Dazap2	16.425966	0.9204422	1.2468279623261717e-60	8.1739655480062e-59	AM
Fcgr2b	16.399933	1.5620035	1.9144906263927155e-60	1.2494113430290782e-58	AM
Asah1	16.38281	1.4629755	2.53739048054348e-60	1.6521741635755962e-58	AM
Ppt1	16.370974	1.4110842	3.082413824687822e-60	2.0025252793344357e-58	AM
Rpsa	16.315166	0.69301766	7.69951356529369e-60	4.990810820025955e-58	AM
Nampt	16.225685	1.5433017	3.3199563879286233e-59	2.1423395705064074e-57	AM
Clec5a	16.218647	3.3622062	3.723108996489982e-59	2.3971158147423195e-57	AM
Cap1	16.195532	1.3274323	5.422717656689577e-59	3.483611923203706e-57	AM
Pon2	16.152754	1.1949396	1.0860391956359179e-58	6.945824011200382e-57	AM
Trpv2	16.138895	2.7065465	1.3595150661376404e-58	8.675575078368357e-57	AM
S100a10	16.136395	0.764909	1.4157432819395564e-58	9.014400808455848e-57	AM
Idh1	16.129772	1.7952435	1.5760292208006639e-58	1.0012830237228059e-56	AM
Kcnn3	16.12179	5.5793	1.7933922732436788e-58	1.1368684939196712e-56	AM
Mgll	16.11814	1.2304289	1.902514003890832e-58	1.20339237432919e-56	AM
Tbc1d9	16.102837	2.9080877	2.436747514685365e-58	1.537929681417649e-56	AM
